ID,English,简体中文,繁体中文,
Update,Update,立即更新,立即更新,
Error,Error,错误,錯誤,
CannotConnect,Cannot connect to the update server!\nPlease check your Internet connection.,无法连接更新服务器！\n 请检查你的网络连接状况,無法連接更新服務器！\n 請檢查您的網路鏈接狀態,
NewVer,New Version!,发现新版本！,發現新版本！,
NewVerAvailable,"A new version, v%LatestVer%, is available.\n\nUpdate now!",当前发布了一个新版本： v%LatestVer%\n\n建议 立即更新！。,已發佈新版本：v%LatestVer%\n\n建議立即更新！,
NewVerNotAvailable,You're up-to-date!,你正在使用最新版！, 你正在運行最新版！,
UpdateSuccessful,Updated successfully!,更新成功！,更新成功！,
ColorPicker,Color Picker,拾色器,檢色器,
Hotkey,Hotkeys,快捷键,快速鍵,
PsDir,Browse to the location of Photoshop,请选择 Photoshop 的位置,請選擇 Photoshop 的位置,
Msg_Debug,Error: Could not find the required on-screen location. Please try the following solutions:\n\t- Set your current Photoshop version correctly within this application.\n\t- Set your system theme to the default.\n\t- Close any foreground windows that might be interfering.\n\t- Check if the images in the folder for the current version are correct (refer to the instructions).,错误：找不到相关位置，请尝试以下解决方法：\n\t- 在本程序中正确设置您当前使用的 Photoshop 版本\n\t- 将系统主题设置为默认\n\t- 有前置窗口影响，需将其关闭\n\t- 检查当前版本文件夹内图片是否符合（参考说明）,錯誤：找不到相關位置，請嘗試以下解決方法：\n\t- 在本程式中正確設定您目前使用的 Photoshop 版本\n\t- 將系統佈景主題設為預設\n\t- 關閉任何可能造成干擾的前景視窗\n\t- 最後檢查目前版本資料夾內的圖片是否相符（參考說明）,
P_I_DisableAltMenu,Disable Alt menu,禁用 Alt 菜单键,禁用 Alt 菜單鍵,
P_I_Hidehelptip,Disable tray notifications,关闭帮助提示,關閉說明提示,
P_I_LaunchPs,Auto launch Photoshop,自动启动 Photoshop,自動啟動 Photoshop,
HT_Check4,"If checked, Photoshop will launch automatically when the program starts.",选中后启动本软件时将自动运行 Photoshop。,選取後，啟動本軟體時將自動執行 Photoshop。,
tray_LaunchPs,Launch Photoshop,启动 Photoshop,啟動 Photoshop,
P_I_LockIME,Lock input method to English,锁定为英文输入法,鎖定為英文輸入法,
LockIMEtip,Your input method has been locked to English.,你的输入法已经被锁定为英文,您的輸入法已被鎖定為英文,
tray_LockIMEOn,English Input Locked,已锁定为英文输入法,已鎖定為英文輸入法,
tray_LockIMEOff,English Input Unlocked,未锁定为英文输入法,未鎖定為英文輸入法,
HT_Check3,Prevents hotkey conflicts caused by input methods.\n\nDesigned for Asian input methods. Can be toggled from the tray menu.\nBe sure to turn this feature off when using the Text Tool.,防止输入法导致快捷键冲突。 \n\n针对亚洲输入法设计，可在托盘菜单处开启、关闭。\n使用文字工具时请务必关闭此功能。,防止輸入法導致快速鍵衝突。\n\n專為亞洲輸入法設計，可從系統匣選單開啟或關閉。\n使用文字工具時請務必關閉此功能。,
C_TempFiles,Clean up temporary files automatically on exit.,退出时自动清理残留临时文件,退出時自動清理殘留臨時文件,
P_I,Interference Prevention,防止干扰,防止干擾,
Other,Other,其他,其他,
PSUserConfig,Advanced Settings (Experimental),高级设置（测试）,進階設定（實驗性）,
AllowAsyncIO,Disable Async IO,禁用异步 IO,停用非同步 IO,
HT_AllowAsyncIO,,,,
ReduceUXFriction,Simplify User Interaction,简化用户操作步驟,簡化使用者操作步驟,
HT_ReduceUXFriction,"When enabled, clicking on the canvas with an active Type layer will commit the text without having to hit Enter or Esc or click on the commit checkbox in the options bar. Also, attempting to move a Background layer will prompt with an option to Convert to Normal Layer. Disabling this option will return legacy/default functionality.",启用后，单击画布上非锁定的图层将直接提交文本，而不必按 Enter 或 Esc 或单击选项栏中的提交复选框。 另外尝试移动背景图层将会提示一个选项以将其转换为普通图层。 禁用此选项将返回传统 / 默认功能。,啟用後，在有作用中的文字圖層時點擊畫布，將會直接確認文字，無需按下 Enter 或 Esc，也無需點擊選項列中的確認核取方塊。此外，嘗試移動背景圖層時，將會提示選項以將其轉換為一般圖層。停用此選項將還原為舊版/預設功能。,
VMCompressPages,Disable Scratch Compression,停用暂存压缩,停用暫存壓縮,
HT_VMCompressPages,"On computers with fast disk drives and SCSI systems, this option can slightly improve performance.\n\nBy default, Photoshop compresses pages before writing them to the scratch file. This compression does not result in a smaller scratch file, as Photoshop must still reserve space for the uncompressed pages. However, for slow disk drives or SCSI systems, the reduction in data transferred to/from the disk is worth the time needed to compress/decompress the data. This is not the case for fast disk drives and SCSI systems.",在具有快速磁盘驱动器和 SCSI 系统的计算机上，次选项可以稍微提升性能。\n\n默认情况下，Photoshop 将页面写入暂存盘文件之前会将其压缩。\n由于 Photoshop 仍须为未压缩的页面保留空间，因此这种压缩并不会获得较小的暂存盘文件。\n但是，因为压缩或解压缩数据所需的时间相对较少，所以对于慢速磁盘驱动器或 SCSI 系统，减小在磁盘上来回传输的数据是值得的。而对于快速磁盘驱动器和 SCSI 系统，情况却并非如此。,在具有快速磁碟機和 SCSI 系統的電腦上，此選項可以稍微提升效能。\n\n預設情況下，Photoshop 在將頁面寫入暫存磁碟檔案之前會對其進行壓縮。\n由於 Photoshop 仍須為未壓縮的頁面保留空間，因此這種壓縮並不會縮小暫存磁碟檔案。\n但是，對於慢速磁碟機或 SCSI 系統，減少磁碟上傳輸的資料量所節省的時間，遠勝於壓縮或解壓縮資料所需的時間。而對於快速磁碟機和 SCSI 系統，情況則並非如此。,
OverscrollAlways,Overscroll Always,总是过界,Overscroll Always,
HT_OverscrollAlways,"This option allows you to continue panning a document even when outside the document bounds (marked by the default gray area surrounding the image). By default, images that fit within the document window cannot be overscrolled.\n\nNote:\nIn current versions of Photoshop, a preference controls this behavior:\nIn Photoshop CC 2014, select Preferences > Interface and enable Overscroll.\nIn Photoshop CC 2015 and later, select Preferences > Tools and enable Overscroll.",此选项允许您即使在超出文档边界（由图像边界周围的默认灰色区域标记）时，仍可继续平移文档。\n默认情况下，无法过界限制在文档窗口内的图像。\n注意:\n在 Photoshop 的当前版本中，有一个首选项控制过界行为：\n在 Photoshop CC 2014 中，选择 “首选项”>“界面”，然后启用 “过界”。\n在 Photoshop CC 2015 及更高版本中，选择 “首选项”>“工具”，然后启用 “过界”。,此選項可讓您即使在文件邊界之外（由影像周圍的預設灰色區域標記），也能繼續平移文件。\n預設情況下，符合文件視窗大小的影像無法過度捲動。\n\n注意：\n在目前的 Photoshop 版本中，有一個偏好設定可控制過度捲動的行為：\n在 Photoshop CC 2014 中，選擇「偏好設定 > 介面」，然後啟用「過度捲動」。\n在 Photoshop CC 2015 及更新版本中，選擇「偏好設定 > 工具」，然後啟用「過度捲動」。,
RecentFilesSlowTimeout,Remember Slow Files,记住慢速文件,Remember Slow Files,
HT_RecentFilesSlowTimeout,"By default, Photoshop removes files from its recent file list if it takes longer than 20 ticks (1/3 second) to locate the file when the list is updated after opening or saving. Some removable devices and network drives may take longer. This option prevents the recent file list from forgetting files that take too long to resolve (up to 20 seconds). However, saving or opening files may take longer if this is enabled.",默认情况下，在打开或保存某个文件后更新最近打开的文件列表时，如果为确定该文件所在的位置而花费的时间超过 20 tick（1/3 秒），则 Photoshop 会从最近打开的文件列表中删除该文件。\n某些可移动设备和某些网络驱动器可能需要更长的时间。“记住慢速文件” 可避免最近打开的文件列表遗忘在列表进行更新时因花费时间太长而无法解析的文件（允许的时间上限为 20 秒）。\n但是，如果安装该增效工具，存储或打开文件的时间可能会变长。,預設情況下，在開啟或儲存檔案後更新最近檔案清單時，如果定位檔案位置的時間超過 20 tick（1/3 秒），Photoshop 會將該檔案從清單中移除。\n某些卸除式裝置和網路磁碟機可能需要更長的時間。此選項可防止最近檔案清單遺忘解析時間過長的檔案（最多允許 20 秒）。\n但是，啟用此選項後，儲存或開啟檔案的時間可能會變長。,
LegacyHealingBrush160,Real-time Healing Brush with UI feedback,新版修复画笔，有实时反馈,新版修復畫筆，有實時反饋,
LegacyHealingBrush161,Legacy Healing Brush algorithm,使用修复画笔的旧版修复算法,使用舊版修復筆刷演算法,
LegacyHealingBrush162,"Real-time Healing Brush, no UI feedback ",新版修复画笔，无实时反馈,新版修復畫筆，無實時反饋,
HT_LegacyHealingBrush161,"Note:\nIn Photoshop CC 2015.5 or later, you can revert to the legacy Photoshop CC 2014 behavior for the Healing Brush tool by enabling Preferences > Tools > Use Legacy Healing Algorithm For Healing Brush.\nPhotoshop CC 2015 introduced a new real-time healing brush algorithm. However, some users prefer the old healing brush algorithm and/or feedback.\nIn Photoshop CC 2015.1, a new Diffusion slider was introduced, which allows you to achieve results similar to the legacy algorithm. See Healing brush examples for more information: https://helpx.adobe.com/photoshop/using/healing-examples.html",注意:\n在 Photoshop CC 2015.5 或更高版本中，您可以通过启用 “首选项”>“工具”>“使用修复画笔的旧版修复算法”，恢复到 Photoshop CC 2014 的旧版修复画笔工具行为。\nPhotoshop CC 2015 引入了一种新的实时修复画笔算法。但是，有些用户喜欢旧版修复画笔算法和 / 或反馈。\nPhotoshop CC 2015.1 引入了新的 “扩散” 滑块，它可以让您获得与旧版算法类似的结果。有关详细信息，请参阅修复画笔示例。https://helpx.adobe.com/cn/photoshop/using/healing-examples.html,注意：\n在 Photoshop CC 2015.5 或更新版本中，您可以透過啟用「偏好設定 > 工具 > 為修復筆刷使用舊版修復演算法」，還原為 Photoshop CC 2014 的舊版修復筆刷工具行為。\nPhotoshop CC 2015 引入了新的即時修復筆刷演算法。但是，有些使用者偏好舊版的修復筆刷演算法和/或回饋。\n在 Photoshop CC 2015.1 中，引入了新的「擴散」滑桿，可讓您獲得類似於舊版演算法的結果。如需詳細資訊，請參閱修復筆刷範例：https://helpx.adobe.com/tw/photoshop/using/healing-examples.html,
UseSystemStylus,Disable System Stylus,关闭系统触控笔,關閉系統手寫筆,
HT_UseSystemStylus,"If you experience ""ripples"" when using a graphics tablet, enabling this option may fix the issue.\n\nFor more details, see:\nhttps://helpx.adobe.com/photoshop/kb/tablet-support-faq-photoshop.html",如果在使用数位板时出现“水波纹”，则可以开启此选项以修复该问题。\n\n详细信息，请参阅：\nhttps://helpx.adobe.com/cn/photoshop/kb/\ntablet-support-faq-photoshop.html,如果在使用數位板時出現「漣漪」效應，啟用此選項或可解決問題。\n\n詳細資訊請參閱：\nhttps://helpx.adobe.com/tw/photoshop/kb/tablet-support-faq-photoshop.html,
uRTS,Enable RealTimeStylus,打开 RealTimeStylus,啟用 RealTimeStylus,
HT_uRTS,"When you run Photoshop CC (v14.2.x) on Windows 8.x, Photoshop uses Microsoft's Wintab technology to control the interaction between Photoshop and a stylus device. If your tablet has issues with WinTab, you can use ""Enable RealTimeStylus"" to force Photoshop to use Windows Ink, which may improve stylus performance.\nFor more information, see ""Tablet functions don't work in Photoshop (v14.2.x) | Windows"": https://helpx.adobe.com/photoshop/kb/tablet-functions-dont-photoshop-142.html",当您在 Windows 8.x 上运行 Photoshop CC (v14.2.x) 时，Photoshop 使用 Microsoft 的 Wintab 技术来控制 Photoshop 与触笔设备之间的交互。如果使用 WinTab 时平板电脑出现问题，可以通过 “打开 RealTimeStylus” 强制 Photoshop 使用 Windows Ink，它可以提高触笔的性能。\n有关详细信息，请参阅平板电脑功能无法在 Photoshop (v14.2.x) 中使用 | Windows。https://helpx.adobe.com/cn/photoshop/kb/tablet-functions-dont-photoshop-142.html,當您在 Windows 8.x 上執行 Photoshop CC (v14.2.x) 時，Photoshop 會使用 Microsoft 的 Wintab 技術來控制 Photoshop 與手寫筆裝置之間的互動。如果您的數位板在使用 WinTab 時發生問題，可以使用「啟用 RealTimeStylus」來強制 Photoshop 使用 Windows Ink，這可能會改善手寫筆的效能。\n如需詳細資訊，請參閱「數位板功能在 Photoshop (v14.2.x) 中無法運作 | Windows」：https://helpx.adobe.com/tw/photoshop/kb/tablet-functions-dont-photoshop-142.html,
FullPreviewMaxSize,Unlimited Preview Size,无限制的预览大小,Unlimited Preview Size,
HT_FullPreviewMaxSize,"If you have the ""Full Size"" option for ""Image Previews"" turned on in the ""Saving Files"" preferences, Photoshop limits the size of the preview to 512 x 512 pixels. This option removes that limit.",如果在 “存储文件” 首选项中为 “图像预览” 打开了 “全大小” 选项，则 Photoshop 会将预览的大小限制为 512 x 512 像素。\n“无限制的预览大小”可消除对文件预览的 512 x 512 像素限制。,如果在「儲存檔案」偏好設定中為「影像預視」開啟了「完整大小」選項，Photoshop 會將預視大小限制為 512 x 512 像素。\n此選項可移除該 512 x 512 像素的限制。,
NeedRestartTip,* Photoshop restart required to take effect.,* 需要重启 Photoshop 以生效。,* 需重新啟動 Photoshop 才能生效。,
Donate,Donate,打赏作者,打賞作者,
Donate_text,"Thank you for using Apssistant!\nSince 2010, this software has helped countless Photoshop users worldwide.\nIf you find it helpful, please share it with others, or consider treating the author to a cup of coffee.\nAny amount is appreciated. Thank you for your kindness.\n\n\t\tJack (The Author)",感谢使用 Apssistant！\n此软件自 2010 年诞生以来，已经为全世界无数的 Photoshop 用户提供了帮助。\n如果这款软件曾经对你有帮助，可以把它分享给其他人，或者请作者喝杯咖啡以表支持。\n金额不限，感谢你的心意。,感謝您使用 Apssistant！\n自 2010 年誕生以來，此軟體已幫助了全球無數的 Photoshop 使用者。\n如果您覺得這款軟體對您有幫助，請將它分享給更多人，或考慮請作者喝杯咖啡以表支持。\n金額不限，感謝您的心意。\n\n\t\t作者 Jack,
shareText,Found a great free #Photoshop plugin that can disable the Alt menu and auto-save. Very convenient! Author: @Jack-Frost,发现一个免费的#Photoshop#小插件，可以禁用Alt菜单键和自动保存，很方便！作者是@杰克-弗罗斯特,發現一個很棒的免費 #Photoshop 小工具，可以禁用 Alt 選單和自動儲存，非常方便！作者是 @杰克-弗罗斯特,
Other_3DsMaxSync,3ds Max Texture Sync,3ds Max 贴图同步,3ds Max 貼圖同步,
Set_hotkey_Center,Center,中心,中心,
hotkeyFastMode,Fast,快速模式,快速模式,
hotkeyStableMode,Stable,稳定模式,穩定模式,
HT_hotkeyFastMode,"Fast Mode (Default):\nNo delay, but requires better hardware.\nCertain software (e.g., Gdipp/Mactype) can severely impact performance; please disable their processes/services when using this tool and Photoshop.\n\nIf you experience frequent lag, please use Stable Mode.",快速模式（默认）：\n无延迟，对硬件配置要求较高。\n某些软件可能对本软件造成严重的性能损失，请在使用本软件及 Photoshop 时禁用其 进程 / 服务（如 Gdipp / Mactype）。\n\n如频繁造成延迟，请使用稳定模式。,快速模式（預設）：\n無延遲，對硬體設定要求較高。\n某些軟體（如 Gdipp / Mactype）可能會嚴重影響本軟體的效能，請在使用本軟體及 Photoshop 時停用其處理程序／服務。\n\n如頻繁發生延遲，請改用穩定模式。,
HT_hotkeyStableMode,"Stable Mode:\nAdds a 0.2-second delay for increased stability and briefly locks the mouse to prevent color selection errors. This may be flagged by security software.\nIf this mode doesn't work, try temporarily disabling your security software or use Fast Mode.",稳定模式：\n增加 0.2 秒延迟以提高稳定性，并瞬时锁定鼠标以避免选色偏差，也因此易被安全软件屏蔽。\n如果使用此模式失效，请尝试暂时关闭安全软件或使用快速模式。,穩定模式：\n增加 0.2 秒延遲以提高穩定性，並短暫鎖定滑鼠以避免選色偏差，因此可能被安全軟體攔截。\n如果此模式無效，請嘗試暫時關閉安全軟體或改用快速模式。,
Set_hotkey_HUD_Color_Picker,HUD color picker Enhancement:,HUD 拾色器增强：,HUD 檢色器加強：,
hotKeyMapCS5Plus,Foreground Color Picker Hotkey Enhancement,前景色拾色器快捷键加强,前景色檢色器快速鍵加強,
Set_hotkey_mapalt_1,Set Foreground Color Picker hotkey to,前景色拾色器快捷键设置为,設定前景色檢色器快速鍵為,
Set_hotkey_mapalt_2,Color Picker + Eyedropper to Alt,前景色拾色器与滴管工具合并至 Alt,前景色檢色器與滴管工具合併至 Alt,
Set_hotkey_mapalt_3,Color Picker + Eyedropper to Alt (Optimized),前景色拾色器与滴管工具合并至 Alt （优化）,前景色檢色器與滴管工具合併至 Alt（優化）,
fastColorPickerCS5Tip,Foreground Color Picker hotkey:,前景色拾色器快捷键：,前景色檢色器快速鍵：,
fastColorPickerCS5Tip2,Changes will take effect the next time you start Photoshop.,更改后将在下次启动 Photoshop 时生效,變更後將在下次啟動 Photoshop 時生效,
HT_MapAlt,"Hotkey Enhancement (CS5+) / Hotkey Set to (CS4-)\nFor CS5 and later, you can enhance the hotkey: hold to open the color picker, release to confirm the color and close the panel.\n\n+ Eyedropper to Alt\nCombines the Color Picker with the Alt-click eyedropper, using the pre-CS5 trigger method.\n* Conflicts with ""Disable Alt menu"".\n\n+ Eyedropper to Alt (Optimized)\nFor CS5 and later only. You need to enter the hotkey you've set for the color picker within Photoshop.\n* Conflicts with ""Disable Alt menu"".",快捷键加强（CS5 以上）/ 快捷键设置为（CS4 以下）\nCS5 及以上版本可进一步强化快捷键：\n按住可打开拾色器面板，松开确认颜色并关闭面板。\n\n与滴管工具合并至 Alt\n将拾色器与 Alt 取色合并，使用 CS5 以前版本的拾色器触发方式。\n* 与“禁用 Alt 菜单键”冲突。\n\n与滴管工具合并至 Alt（优化）\n仅 CS5 及以上版本可见，需要输入 CS5 以上版本内设置的拾色器快捷键。\n* 与“禁用 Alt 菜单键”冲突。,快速鍵加強 (CS5+) / 設定快速鍵 (CS4-)\nCS5 及更新版本可進一步強化快速鍵：按住可開啟檢色器面板，放開即可確認顏色並關閉面板。\n\n與滴管工具合併至 Alt\n將檢色器與 Alt 取色合併，使用 CS5 以前版本的檢色器觸發方式。\n* 與「停用 Alt 選單鍵」衝突。\n\n與滴管工具合併至 Alt (最佳化)\n僅 CS5 及更新版本可見，需要輸入您在 Photoshop 中為檢色器設定的快速鍵。\n* 與「停用 Alt 選單鍵」衝突。,
Set_hotkey_ModifyBrushKey,Modify brush radius:,修改笔刷范围：,修改筆刷範圍：,
Set_hotkey_Precise,Precise,精确,精確,
Set_hotkey_QCLayer,Create a new layer:,快速创建新图层：,快速建立新圖層：,
Set_hotkey_Undo,Modify Undo (Step Backward) / Redo (Step Forward) hotkeys,修改撤销（后退一步）恢复（前进一步）快捷键,修改還原（上一步）/重做（下一步）的快速鍵,
HT_Check1,This feature changes the undo/redo hotkeys to the common system standard of Ctrl+Z / Ctrl+Y.\nPhotoshop's four default hotkeys will be remapped as follows:\nFunction\tBefore\t\tAfter\nStep Backward\tAlt+Ctrl+Z\tCtrl+Z\nUndo/Redo\tCtrl+Z\t\tShift+Ctrl+Z\nStep Forward\tShift+Ctrl+Z\tCtrl+Y\nProof Colors\tCtrl+Y\t\tAlt+Ctrl+Z\n\nIt is recommended to change these shortcuts using Photoshop's built-in function:\nKeyboard Shortcuts and Menus > Application Menus, and change them according to the table above.,此功能将撤销、恢复快捷键改为系统常用的 Ctrl+Z/Y\nPhotoshop 默认的4个快捷键将被循环更换如下：\n功能\t\t修改前\t\t修改后\n后退一步\t\tAlt+Ctrl+Z\tCtrl+Z\n还原/重做\tCtrl+Z\t\tShift+Ctrl+Z\n前进一步\t\tShift+Ctrl+Z\tCtrl+Y\n校样颜色\t\tCtrl+Y\t\tAlt+Ctrl+Z\n\n建议常用设备使用 Photoshop 自带改键功能，方法：\n键盘快捷键和菜单\n\t↳ 快捷键用于（应用程序菜单）\n按上文次序更改。,此功能會將還原/重做快速鍵變更為系統常用的 Ctrl+Z / Ctrl+Y。\nPhotoshop 的四個預設快速鍵將循環替換如下：\n功能\t\t修改前\t\t修改後\n退後一步\t\tAlt+Ctrl+Z\tCtrl+Z\n還原/重做\tCtrl+Z\t\tShift+Ctrl+Z\n前進一步\t\tShift+Ctrl+Z\tCtrl+Y\n校樣顏色\t\tCtrl+Y\t\tAlt+Ctrl+Z\n\n建議使用 Photoshop 內建功能來更改這些快速鍵：\n鍵盤快速鍵和選單 > 應用程式選單，然後依照上表順序更改。
Set_hotkey_SHLayer,Show / Hide current layer:,显示或隐藏当前图层：,顯示或隱藏目前圖層：,
HT_Check13,Set a key to show or hide the current layer.,设置一个按键用于显示或隐藏当前图层。,設定一個按鍵以顯示或隱藏目前圖層。,
tray_Config,Preferences,设置,設定,
tray_Exit,Exit,退出,退出,
OpenGLtip,"1. This feature requires ""Enable OpenGL Drawing"" to be turned on in Preferences > Performance > Advanced Settings.\n2. Hold down the Spacebar to switch the color selection area.",1.此功能需到 首选项 → 性能 → 高级选项 中启用 OpenGL 绘图\n2.按住空格以切换选色区域,1. 此功能需至「偏好設定 > 效能 > 進階設定」中啟用「OpenGL 繪圖」。\n2. 按住空白鍵以切換選色區域。,
Tiptitle,Tips,提示,提示,
Undotip,The default hotkeys on the left have been changed to those on the right:,以下左边默认快捷键已更改为右边：,以下左邊的預設快速鍵已更改為右邊：,
HT_FChoice,"Notes:\n* Hotkeys do not support tablet expansion keys.\n* Do not leave hotkeys blank or create conflicts with other hotkeys in this software.\n* Using the HUD Color Picker with the Lasso Tool may cause Photoshop to freeze.\n* Rapidly and repeatedly using hotkeys may cause Photoshop instability.\n* Some software (e.g., Gdipp, MacType) can cause severe performance loss. Please disable their processes/services when using this tool and Photoshop.",注意事项\n* 快捷键修改不支持数位板扩展键。\n* 快捷键切勿留空或与本软件其他快捷键冲突。\n* 套索工具状态下使用 HUD 拾色器可能导致假死。\n* 连续快速使用快捷键可能导致 Photoshop 不稳定。\n* 某些软件可能对本软件造成严重的性能损失（如 Gdipp、MacType），请在使用本软件及 Photoshop 时禁用其 进程 / 服务。,注意事項\n* 快速鍵修改不支援數位板擴充鍵。\n* 快速鍵切勿留空或與本軟體其他快速鍵衝突。\n* 在套索工具狀態下使用 HUD 檢色器可能導致 Photoshop 沒有回應。\n* 連續快速使用快速鍵可能導致 Photoshop 不穩定。\n* 某些軟體（如 Gdipp、MacType）可能會嚴重影響本軟體的效能，請在使用本軟體及 Photoshop 時停用其處理程序／服務。,
HT_Check2,Disables the application's operational tips in the system tray.,关闭本软件附带的操作信息托盘提示。,關閉本軟體附帶的操作資訊系統匣提示。,
HT_Check7,"Check to enable the HUD Color Picker enhancement. This feature is only for CS5 and later and requires OpenGL support to be enabled in Preferences.\nTo enable OpenGL in Photoshop:\n\tEdit > Preferences > Performance > Enable OpenGL Drawing\nIf the ""Enable OpenGL Drawing"" option is grayed out, try updating your graphics card driver, modifying the registry, or upgrading your hardware.",选中以启用 HUD 拾色器增强功能，此功能只适用于 CS5 及以上版本，需在 首选项 中启用 OpenGL 支持方可使用。\n在 Photoshop 菜单中启用 OpenGL 的方法： \n\t编辑>首选项>性能>启用 OpenGL 绘图\n部分显卡不支持启用 OpenGL 绘图选项（复选框为灰色），可尝试修改注册表、升级显卡驱动或硬件。,勾選以啟用 HUD 檢色器增強功能。此功能僅適用於 CS5 及更新版本，且需要在「偏好設定」中啟用 OpenGL 支援。\n在 Photoshop 中啟用 OpenGL 的方法：\n\t編輯 > 偏好設定 > 效能 > 啟用 OpenGL 繪圖\n如果「啟用 OpenGL 繪圖」選項呈現灰色無法勾選，請嘗試更新顯示卡驅動程式、修改登錄檔或升級硬體。,
HT_HUDCP,Set a hotkey for the HUD Color Picker enhancement.,为 HUD 拾色器增强功能设置一个快捷键。,為 HUD 檢色器增強功能設置一個快速鍵。,
HT_Check5,"When checked, you no longer need to hold down the Spacebar to switch color selection areas. The Foreground Color Picker will be identified automatically.\n\nThis option is recommended.",选中后将不需要按住空格键切换选色区域。前景色拾色器将自动识别。 \n\n建议启用此选项。,勾選後，將無需按住空白鍵來切換選色區域，前景檢色器將會自動識別。\n\n建議啟用此選項。,
HT_Check9,"When checked, the HUD Color Picker will automatically appear at the center of the screen.\n\nNote:\nSince tablets use absolute screen positioning, you should lift the stylus when using this option.",选中后将自动定位到屏幕中心显示 HUD 拾色器。\n\n注意：\n因为数位板使用屏幕绝对定位，所以使用此选项时应抬起数位笔。,勾選後，HUD 檢色器將自動定位於螢幕中央顯示。\n\n注意：\n由於數位板使用絕對螢幕定位，使用此選項時應將數位筆提起。,
HT_Check8,"Check to enable the Foreground Color Picker hotkey feature.\nNote:\nAfter selecting the version number, this key can both open and confirm the color picker in one action.\nFor CS4 and earlier (down to version 6), the following conditions may need to be met:\n\t* The foreground color swatch must be clickable (not in full-screen mode).\n\t* The Brush or Pencil tool must be active.\n\t* The system default theme must be in use.",选中后启用前景色拾色器快捷键功能。\n注意：\n此按键可在选择版本号之后同时可实现打开/保存拾色器，即一键操作。\nCS4 及以前版本（最低至 6）在使用此功能时可能需满足以下条件：\n\t* 前景色处于可点击状态（非全屏模式）\n\t* 使用画笔工具或铅笔工具\n\t* 使用系统默认主题,勾選以啟用前景檢色器快速鍵功能。\n注意：\n選擇版本號後，此按鍵可一鍵完成開啟和確認檢色器。\n對於 CS4 及更早版本（最低至 6.0），可能需要滿足以下條件：\n\t* 前景顏色方塊處於可點擊狀態（非全螢幕模式）。\n\t* 正在使用筆刷或鉛筆工具。\n\t* 正在使用系統預設佈景主題。,
HT_FCPk,Set a hotkey for the Foreground Color Picker.,为前景色拾色器设置一个快捷键。,為前景檢色器設置一個快速鍵。,
